Term,OriginalReadCode
Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion,^ESCT1394109
Acute STEMI (ST elevation myocardial infarction) due to proximal LAD (left anterior descending) coronary artery occlusion,^ESCT1394111
Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion,^ESCT1394114
Acute STEMI (ST elevation myocardial infarction) due to mid LAD (left anterior descending) coronary artery occlusion,^ESCT1394116
Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion,^ESCT1394121
Acute STEMI (ST elevation myocardial infarction) due to distal LAD (left anterior descending) coronary artery occlusion,^ESCT1394123
Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery,^ESCT1394521
Acute STEMI (ST segment elevation myocardial infarction) due to LAD (left anterior descending) coronary artery occlusion,^ESCT1394523
Acute ST segment elevation myocardial infarction due to occlusion of septal branch of anterior descending branch of left coronary artery,^ESCT1394598
Acute ST segment elevation myocardial infarction due to occlusion of diagonal branch of anterior descending branch of left coronary artery,^ESCT1394759
Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery,^ESCT1394772
Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of right coronary artery,^ESCT1396130
Acute STEMI (ST elevation myocardial infarction) due to proximal RCA (right coronary artery) occlusion,^ESCT1396131
Acute ST segment elevation myocardial infarction due to occlusion of distal portion of right coronary artery,^ESCT1396134
Acute STEMI (ST elevation myocardial infarction) due to distal RCA (right coronary artery) occlusion,^ESCT1396135
Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery,^ESCT1396137
Acute STEMI (ST elevation myocardial infarction) due to mid RCA (right coronary artery) occlusion,^ESCT1396138
Acute ST segment elevation myocardial infarction due to occlusion of marginal branch of right coronary artery,^ESCT1396142
Acute STEMI (ST elevation myocardial infarction) due to AM (acute marginal) branch of RCA (right coronary artery) occlusion,^ESCT1396143
Acute ST segment elevation myocardial infarction due to occlusion of posterior descending branch of right coronary artery,^ESCT1396144
Acute STEMI (ST elevation myocardial infarction) due to PDA (posterior descending artery) branch of RCA (right coronary artery) occlusion,^ESCT1396145
Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery,^ESCT1396146
Acute STEMI (ST elevation myocardial infarction) due to PL (posterolateral) branch of RCA (right coronary artery) occlusion,^ESCT1396147
Myocardial infarction due to demand ischaemia,^ESCT1401503
Rupture of ventricle due to acute myocardial infarction,^ESCT1405722
Myocardial infarction with non-obstructive coronary artery,^ESCT1413294
MINOCA - myocardial infarction with non-obstructive coronary artery,^ESCT1413295
Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery,^ESCT1414537
Acute ST segment elevation myocardial infarction due to occlusion of circumflex branch of left coronary artery,^ESCT1414539
Acute ST segment elevation myocardial infarction of apex of heart,^ESCT1414543
Acute STEMI (ST segment elevation myocardial infarction) of apex of heart,^ESCT1414545
Acute ST segment elevation myocardial infarction of right ventricle,^ESCT1414546
Myocardial infarction due to atherothrombotic coronary artery disease,^ESCT1419470
Type 1 myocardial infarction,^ESCT1419471
Mitral valve regurgitation due to acute myocardial infarction,^ESCT1442813
Supraventricular tachycardia following acute myocardial infarction,^ESCT1448886
Postmyocardial infarction pericardial effusion,^ESCT1454651
Postoperative acute myocardial infarction,^ESCT1454672
Acute inferior non-ST segment elevation myocardial infarction,^ESCT1474197
Acute anterior non-ST segment elevation myocardial infarction,^ESCT1474201
Acute non-ST segment elevation myocardial infarction of right ventricle,^ESCT1474299
Ventricular thrombus following acute myocardial infarction,^ESCT1475245
Subsequent inferior non-ST segment elevation myocardial infarction,^ESCT1475251
Acute ST segment elevation myocardial infarction due to distal left circumflex coronary artery occlusion,^ESCT1527612
Acute ST segment elevation myocardial infarction due to mid left circumflex coronary artery occlusion,^ESCT1527615
Acute STEMI (ST elevation myocardial infarction) due to mid LCX (left circumflex coronary artery) occlusion,^ESCT1527616
Acute ST segment elevation myocardial infarction due to obtuse marginal branch of left circumflex coronary artery occlusion,^ESCT1527618
Acute STEMI (ST elevation myocardial infarction) due to OM (obtuse marginal) branch of LCX (left circumflex coronary artery) occlusion,^ESCT1527620
Acute ST segment elevation myocardial infarction due to posterolateral branch of left circumflex coronary artery occlusion,^ESCT1527621
Acute STEMI (ST elevation myocardial infarction) due to PL (posterolateral) branch of LCX (left circumflex coronary artery) occlusion,^ESCT1527622
Acute ST segment elevation myocardial infarction due to proximal left circumflex coronary artery occlusion,^ESCT1527624
Microinfarction of heart,G31y1
Microinfarct of heart,^ESCTMI318577
ECG: myocardial infarction,323
ECG: antero-septal infarct.,3233
ECG:posterior/inferior infarct,3234
ECG: subendocardial infarct,3235
ECG: lateral infarction,3236
ECG: myocardial infarct NOS,323Z
ECG: anteroseptal infarction,^ESCTEC458613
