Term,OriginalReadCode
Closed fracture of lower end of radius AND ulna,^ESCTCL303424
Open fracture of hamate bone of wrist,^ESCTOP305807
Closed fracture of hamate bone of wrist,^ESCTCL309869
Closed fracture of lunate bone of wrist,^ESCTCL310603
Closed fracture of styloid process of ulna,^ESCTCL316099
Closed fracture of scaphoid bone of wrist,^ESCTCL319032
Closed fracture of pisiform bone of wrist,^ESCTCL320474
Open fracture of capitate bone of wrist,^ESCTOP321700
Open fracture of lunate bone of wrist,^ESCTOP336361
Barton's fracture,^ESCTBA338678
Barton fracture,^ESCTBA338679
Closed fracture of trapezium bone of wrist,^ESCTCL342815
Bennett's fracture,^ESCTBE350152
Bennett's fracture dislocation,^ESCTBE350154
Bennett fracture,^ESCTBE350155
Open fracture of trapezium of wrist,^ESCTOP359139
Closed Bennett's fracture,^ESCTCL360145
Closed Bennett fracture,^ESCTCL360146
Open fracture of navicular bone of wrist,^ESCTOP360729
Fracture of capitate bone of wrist,^ESCTFR369224
Fracture of capitate,^ESCTFR369226
Fracture of trapezium of wrist,^ESCTFR371033
Fracture of trapezium,^ESCTFR371035
Open Bennett's fracture,^ESCTOP374585
Fracture of carpus,^ESCTFR383451
Fracture of pisiform bone of wrist,^ESCTFR386705
Fracture of pisiform,^ESCTFR386706
Fracture of hamate bone of wrist,^ESCTFR389649
Fracture of hamate,^ESCTFR389651
Open fracture of lower end of radius AND ulna,^ESCTOP393200
Open fracture of pisiform bone of wrist,^ESCTOP394930
Closed fracture of capitate bone of wrist,^ESCTCL396486
Arthroscopy of wrist with internal fixation for fracture,^ESCTAR421400
Closed reverse Colles' fracture,^ESCTCL435380
Open reverse Colles' fracture,^ESCTOP435381
Colles' fracture,^ESCTCO435824
Reversed Colles' fracture,^ESCTRE435825
Smith's fracture,^ESCTSM435826
Closed volar Barton fracture,^ESCTCL484225
Closed dorsal Barton's fracture dislocation,^ESCTCL484228
Closed dorsal Barton fracture,^ESCTCL484229
Closed fracture dislocation radiocarpal joint,^ESCTCL484892
Closed fracture dislocation midcarpal,^ESCTCL484893
Closed fracture dislocation lunate (volar),^ESCTCL484896
Closed fracture dislocation perilunate (dorsal),^ESCTCL484897
Closed fracture dislocation perilunate transscaphoid,^ESCTCL484898
Open fracture dislocation of distal radioulnar joint,^ESCTOP484900
Open fracture dislocation radiocarpal joint,^ESCTOP484902
Open fracture dislocation lunate (volar),^ESCTOP484905
Open fracture dislocation perilunate (dorsal),^ESCTOP484906
Open fracture dislocation perilunate transscaphoid,^ESCTOP484907
Closed fracture subluxation of distal radioulnar joint,^ESCTCL484909
Closed fracture subluxation radiocarpal joint,^ESCTCL484910
Closed fracture subluxation lunate (volar),^ESCTCL484913
Closed fracture subluxation perilunate (dorsal),^ESCTCL484914
Closed fracture subluxation perilunate transscaphoid,^ESCTCL484915
Open fracture subluxation of the wrist,^ESCTOP484916
Open fracture subluxation of distal radioulnar joint,^ESCTOP484917
Open fracture subluxation lunate (volar),^ESCTOP484921
Fracture dislocation of wrist joint,^ESCTFR546059
Fracture dislocation of radiocarpal joint,^ESCTFR546060
Fracture dislocation of lunate,^ESCTFR546062
Fracture subluxation of wrist,^ESCTFR546082
Fracture subluxation of lunate,^ESCTFR546088
Fracture of distal end of radius,^ESCTFR546199
Volar Barton's fracture,^ESCTVO546201
Volar Barton fracture,^ESCTVO546202
Dorsal Barton's fracture,^ESCTDO546203
Dorsal Barton fracture,^ESCTDO546204
Fracture of distal end of ulna,^ESCTFR546208
Fracture of distal end of radius and ulna,^ESCTFR546212
Transscaphoid-perilunate fracture dislocation,^ESCTTR565252
Transscaphoid-capitate-hamate-triquetral-perilunate fracture dislocation,^ESCTTR565254
Transstyloid-perilunate fracture dislocation,^ESCTTR565255
Transstyloid-scaphoid-perilunate fracture dislocation,^ESCTTR565256
Fracture of radial styloid,^ESCTFR565268
Fracture of ulnar styloid,^ESCTFR565271
Fracture dislocation distal radioulnar joint,^ESCTFR596530
Closed Barton fracture,^ESCTCL597198
Fracture of head of radius with dislocation of distal radioulnar joint and interosseous membrane disruption,^ESCTFR726443
Pathological fracture of distal radius,^ESCTPA730975
Pathological fracture of distal ulna,^ESCTPA730976
Closed fracture of distal epiphysis of radius,^ESCTCL758786
Pathological fracture of distal radius and distal ulna,^ESCTPA766315
Smith fracture,^ESCT1221720
Closed fracture of trapezoidal bone of right wrist,^ESCT1370300
Closed fracture of trapezoidal bone of left wrist,^ESCT1370301
Closed fracture of lunate bone of left wrist,^ESCT1370303
Disorder due to and following fracture at wrist and/or hand level,^ESCT1379051
Closed Smith's fracture,^ESCT1419672
Closed fracture of multiple carpal bones,^ESCT1507936
Open fracture of multiple carpal bones,^ESCT1507937
Fracture of distal end of left ulna,^ESCT1526231
Fracture of distal end of left radius,^ESCT1526232
Fracture of distal end of right ulna,^ESCT1529069
Fracture of distal end of right radius,^ESCT1529546
Fracture of bone of left wrist region,^ESCT1543734
Fracture of bone of right wrist region,^ESCT1543735
Fracture of bone of wrist region,^ESCT1543738
Fracture of left carpus,^ESCT1565378
Fracture of right scaphoid bone,^ESCT1605454
Closed fracture subluxation of wrist,^ESCT1608054
Hutchinson's fracture,^ESCTHU705948
Chauffeur's fracture,^ESCTCH705949
#Carpal bones,S24-99
#Scaphoid,S2401-99
#Carpal bones NOS,S24z-99
#Carpal bones NOS,S24-98
Closed Galeazzi fracture,S2348
Open Galeazzi fracture,S2358
Galeazzi fracture dislocation,^ESCTGA552631
Galeazzi's fracture of radius,^ESCTGA552632
"Dupuytren's fracture, radius - closed",S2342-1
"Dupuytren's fracture, radius - open",S2352-1
